id,name
MESH_D001561,Benzilates
MESH_D061389,"Insulin, Regular, Pork"
MESH_D012794,Sialic Acids
MESH_D000166,Acridines
MESH_D005013,Ethosuximide
MESH_D011796,Quinacrine
MESH_D003510,Cyclohexanes
MESH_D010752,Phosphoramide Mustards
MESH_D001087,Arabinonucleosides
MESH_D002243,Carbolines
MESH_D013844,Thiazoles
MESH_D047188,Chalcones
MESH_D006027,Glycosides
MESH_D002783,Cholestenones
MESH_D001549,Benzamides
MESH_D010455,Peptides
MESH_D007093,Imidazoles
MESH_D001547,Benzaldehydes
MESH_D013882,Thiosemicarbazones
MESH_D000599,"Amino Acids, Diamino"
MESH_D002934,Cinnamates
MESH_D000098,Acetophenones
MESH_D000681,Amylases
MESH_D000662,Amphetamines
MESH_D010080,Oxazoles
MESH_D004983,Ethanolamines
MESH_D000272,Adipates
MESH_D014992,Xylenes
MESH_D014227,Triazines
MESH_D013400,Sugar Acids
MESH_D006600,Hexosephosphates
MESH_D010940,Plant Proteins
MESH_D012457,Salicylamides
MESH_D001205,Ascorbic Acid
MESH_D002254,Carbonates
MESH_D010671,Phenylurea Compounds
MESH_D011807,Quinolizines
MESH_D019086,"Bridged Bicyclo Compounds, Heterocyclic"
MESH_D001392,Azocines
MESH_D014315,Triterpenes
MESH_D011106,Polyisoprenyl Phosphates
MESH_D004148,Dioxolanes
MESH_D007191,Indazoles
MESH_D001572,Benzofurans
MESH_D004146,Dioxanes
MESH_D001581,Benzothiadiazines
MESH_D011743,Pyrimidines
MESH_D011810,Quinoxalines
MESH_D011140,Polyurethanes
MESH_D012826,Silicone Elastomers
MESH_D013729,Terpenes
MESH_D000613,Aminobutyrates
MESH_D007042,Hypoxanthines
MESH_D001372,Aza Compounds
MESH_D000737,Androstenols
MESH_D000687,Amylopectin
MESH_D007529,Isoflavones
MESH_D014574,Uronic Acids
MESH_D007211,Indoles
MESH_D003984,Dibenzazepines
MESH_D013872,Thionucleosides
MESH_D000644,Quaternary Ammonium Compounds
MESH_D005295,Ferrocyanides
MESH_D004220,Disulfides
MESH_D011719,Pyrazines
MESH_D014230,Triazoles
MESH_D004151,Dipeptides
MESH_D010879,Piperazines
MESH_D003979,Diazonium Compounds
MESH_D011422,Propionates
MESH_D000081,Acetamides
MESH_D005719,gamma-Globulins
MESH_D009649,Norpregnadienes
MESH_D000814,Aniline Compounds
MESH_D001393,Azoles
MESH_D016566,Organoselenium Compounds
MESH_D013764,Tetrahydronaphthalenes
MESH_D002511,Cephalosporins
MESH_D013438,Sulfhydryl Compounds
MESH_D003374,Coumarins
MESH_D000614,Aminocaproates
MESH_D023303,Oxazolidinones
MESH_D013424,Sulfanilamides
MESH_D012834,Silver
MESH_D009842,Oligopeptides
MESH_D000736,Androstenes
MESH_D012717,Sesquiterpenes
MESH_D007611,Aprotinin
MESH_D014568,Urokinase-Type Plasminogen Activator
MESH_D062367,ortho-Aminobenzoates
MESH_D012836,Silver Proteins
MESH_D034341,Aristolochic Acids
MESH_D011804,Quinolines
MESH_D018942,Macrolides
MESH_D002219,Carbamates
MESH_D008529,Mefruside
MESH_D009539,Nicotinic Acids
MESH_D012110,Reserpine
MESH_D008301,Maleimides
MESH_D013386,Succinates
MESH_D011725,Pyridines
MESH_D050858,Betalains
MESH_D011759,Pyrrolidines
MESH_D020100,Hydrogels
MESH_D001389,Azirines
MESH_D044004,Xanthones
MESH_D005029,Ethylenediamines
MESH_D003959,Diamines
MESH_D013440,Sulfides
MESH_D011753,Pyrones
MESH_D001391,Azo Compounds
MESH_D000634,Aminoquinolines
MESH_D013413,Sulfadoxine
MESH_D014295,Trimethoprim
MESH_D001881,Borates
MESH_D009596,Nitrophenols
MESH_D006908,Hydroxyprogesterones
MESH_D017879,Isothiocyanates
MESH_D009941,Organomercury Compounds
MESH_D014468,Umbelliferones
MESH_D011720,Pyrazoles
MESH_D013229,Stearic Acids
MESH_D005995,Glyceryl Ethers
MESH_D001285,Atropine
MESH_D011220,Pralidoxime Compounds
MESH_D014236,Trichlorfon
MESH_D011412,Propanolamines
MESH_D002072,Butylene Glycols
MESH_D004987,Ethers
MESH_D000476,Alkanesulfonates
MESH_D007555,Isoxazoles
