id,name
MESH_D000894,"Anti-Inflammatory Agents, Non-Steroidal"
MESH_D001561,Benzilates
MESH_D007004,Hypoglycemic Agents
MESH_D061389,"Insulin, Regular, Pork"
MESH_D012794,Sialic Acids
MESH_D000166,Acridines
MESH_D004338,Drug Combinations
MESH_D005013,Ethosuximide
MESH_D011796,Quinacrine
MESH_D003510,Cyclohexanes
MESH_D010752,Phosphoramide Mustards
MESH_D001087,Arabinonucleosides
MESH_D002243,Carbolines
MESH_D013844,Thiazoles
MESH_D047188,Chalcones
MESH_D006027,Glycosides
MESH_D002783,Cholestenones
MESH_D001549,Benzamides
MESH_D010455,Peptides
MESH_D007093,Imidazoles
MESH_D001547,Benzaldehydes
MESH_D013882,Thiosemicarbazones
MESH_D000599,"Amino Acids, Diamino"
MESH_D002934,Cinnamates
MESH_D000098,Acetophenones
MESH_D000681,Amylases
MESH_D000662,Amphetamines
MESH_D013287,Illicit Drugs
MESH_D000697,Central Nervous System Stimulants
MESH_D010080,Oxazoles
MESH_D000903,"Antibiotics, Antineoplastic"
MESH_D002614,Chelating Agents
MESH_D004983,Ethanolamines
MESH_D000272,Adipates
MESH_D014992,Xylenes
MESH_D014227,Triazines
MESH_D013400,Sugar Acids
MESH_D006600,Hexosephosphates
MESH_D000880,Anthraquinones
MESH_D010367,Arachis
MESH_D010940,Plant Proteins
MESH_D012457,Salicylamides
MESH_D001205,Ascorbic Acid
MESH_D002254,Carbonates
MESH_D010671,Phenylurea Compounds
MESH_D011807,Quinolizines
MESH_D019086,"Bridged Bicyclo Compounds, Heterocyclic"
MESH_D001392,Azocines
MESH_D014315,Triterpenes
MESH_D011106,Polyisoprenyl Phosphates
MESH_D004148,Dioxolanes
MESH_D007191,Indazoles
MESH_D001572,Benzofurans
MESH_D000617,Aminoglycosides
MESH_D004146,Dioxanes
MESH_D001581,Benzothiadiazines
MESH_D011743,Pyrimidines
MESH_D011810,Quinoxalines
MESH_D011140,Polyurethanes
MESH_D012826,Silicone Elastomers
MESH_D013729,Terpenes
MESH_D000613,Aminobutyrates
MESH_D007042,Hypoxanthines
MESH_D001372,Aza Compounds
MESH_D000737,Androstenols
MESH_D000687,Amylopectin
MESH_D007529,Isoflavones
MESH_D014574,Uronic Acids
MESH_D007211,Indoles
MESH_D003984,Dibenzazepines
MESH_D013872,Thionucleosides
MESH_D000890,Anti-Infective Agents
MESH_D013501,Surface-Active Agents
MESH_D000644,Quaternary Ammonium Compounds
MESH_D000931,Antidotes
MESH_D004396,Coloring Agents
MESH_D005295,Ferrocyanides
MESH_D004220,Disulfides
MESH_D011719,Pyrazines
MESH_D014230,Triazoles
MESH_D004151,Dipeptides
MESH_D010879,Piperazines
MESH_D003979,Diazonium Compounds
