id,name
MESH_C000591739,"Familial gynecomastia, due to increased aromatase activity"
MESH_C000597569,Typical Teratoid Rhabdoid Tumor
MESH_C000598744,"Idiopathic inflammatory myopathy, familial"
MESH_C000598941,Keratoactinomycosis
MESH_C000600608,"Ehlers-Danlos Syndrome, musculocontractural type 1"
MESH_C000601856,Non ketotic hyperglycinemia syndrome
MESH_C000603735,Congenital Nongoitrous Hypothyroidism
MESH_C000604661,Sinus Tarsi Syndrome
MESH_C000608733,Postmastectomy Angiosarcoma
MESH_C000608854,Bilateral Optic Nerve Meningioma
MESH_C000613206,Poroid hidradenoma
MESH_C000623088,Congenital disorder of glycosylation type 1I
MESH_C000625499,calcifying aponeurotic fibroma
MESH_C000626124,NGLY1 deficiency
MESH_C000626393,Erosive Adenomatosis of the Nipple
MESH_C000629404,acute flaccid myelitis
MESH_C000630779,Jugular foramen syndrome
MESH_C000631768,Pediatric acute-onset neuropsychiatric syndrome
MESH_C000632444,"Aniridia, Partial, with Unilateral Renal Agenesis and Psychomotor Retardation"
MESH_C000632664,Microcystic adnexal carcinoma
MESH_C000633744,chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature
MESH_C000654764,Amoebic gill disease
MESH_C000655084,red meat allergy
MESH_C000655292,unicuspid aortic valve
MESH_C000655384,aorto-atrial tunnel
MESH_C000656784,adiaspiromycosis
MESH_C000656785,entomophthoromycosis
MESH_C000656804,chlorellosis
MESH_C000656805,protothecosis
MESH_C000656806,Prototheca mastitis
MESH_C000656824,tinea manus
MESH_C000656825,tinea barbae
MESH_C000656844,dermatophytid reaction
MESH_C000656845,tinea incognita
MESH_C000656864,Candida auris infection
MESH_C000656865,talaromycosis
MESH_C000656884,emmonsiosis
MESH_C000656885,emergomycosis
MESH_C000656904,tinea nigra
MESH_C000656905,Saprochaete clavata infection
MESH_C000656906,Sarocladium kiliense infection
MESH_C000656907,Exserohilum infection
MESH_C000656924,scedosporiosis
MESH_C000656944,Rhizopus infection
MESH_C000656945,Mucor infection
MESH_C000656946,Cunninghamella bertholletiae infection
MESH_C000656947,Absidia corymbifera Infection
MESH_C000656948,Saksenaea erythrospora infection
MESH_C000656949,Rhizomucor pusillus infection
MESH_C000656964,Aspergillus meningitis
MESH_C000657245,COVID-19
MESH_C000657744,postintensive care syndrome
MESH_C000705607,dermatophilosis
MESH_C000705967,"pediatric multisystem inflammatory disease, COVID-19 related"
MESH_C531598,Familial acanthosis nigricans
MESH_C531599,Achondroplastic dwarfism
MESH_C531600,Growth hormone excess
MESH_C531601,"Tonic, sluggishly reacting pupil and hypoactive or absent tendon reflexes"
MESH_C531604,Primary visual agnosia
MESH_C531607,Alexanders leukodystrophy
MESH_C531609,Diffuse alopecia
MESH_C531613,Amoebiasis due to Entamoeba histolytica
MESH_C531614,Amniotic Band Sequence
MESH_C531615,"Amyloid Neuropathies, Primary (nonfamilial)"
MESH_C531617,Amyotrophic lateral sclerosis 1
MESH_C531619,Happy puppet syndrome (formerly)
MESH_C531621,Cutaneous anthrax
MESH_C531622,Familial antiphospholipid syndrome
MESH_C531624,Familial spinal arachnoiditis
MESH_C531633,Biotin deficiency
MESH_C531638,Sudden unexpected nocturnal death syndrome
MESH_C531639,Stomatodynia
MESH_C531641,Monday morning fever
MESH_C531642,Familial vascular leukoencephalopathy
MESH_C531647,Caroli disease isolated
MESH_C531649,Neutropenia and hyperlymphocytosis with large granular lymphocytes
MESH_C531651,"Rhizomelic chondrodysplasia punctata, type 1"
MESH_C531654,Congenital chylous ascites
MESH_C531660,Generalized elastolysis
MESH_C531662,Submacular Cysticercosis
MESH_C531664,Cystinuria type 1
