startId,count,endId
MESH_C000657245,23607,MESH_D006886
MESH_C000657245,16724,MESH_C558899
MESH_C000657245,13096,MESH_D002738
MESH_C000657245,11614,MESH_C000606551
MESH_C000657245,8867,MESH_D010100
MESH_C000657245,8240,MESH_C502936
MESH_C000657245,6594,MESH_D017963
MESH_C000657245,3769,MESH_C086979
MESH_D003643,3340,MESH_D006886
MESH_C000657245,2934,MESH_D061466
MESH_C000657245,2896,MESH_D013256
MESH_D003643,2892,MESH_C558899
MESH_C000657245,2840,MESH_C462182
MESH_D007239,2744,MESH_D006886
MESH_C000657245,2444,MESH_D014867
MESH_C000657245,2338,MESH_D053139
MESH_D007239,2213,MESH_D002738
MESH_C000657245,2078,MESH_D012254
MESH_C000657245,2048,MESH_D006493
MESH_C000657245,1969,MESH_D008775
MESH_D005334,1917,MESH_D010100
MESH_D003643,1912,MESH_D010100
MESH_D007239,1825,MESH_C000606551
MESH_D007239,1816,MESH_D010100
MESH_D012128,1805,MESH_D010100
MESH_C000657245,1802,MESH_D019438
MESH_C000657245,1732,MESH_D014807
MESH_C000657245,1627,MESH_D005947
MESH_D003920,1598,MESH_D005947
MESH_D004417,1517,MESH_D010100
MESH_D007239,1517,MESH_C558899
MESH_D011014,1506,MESH_D006886
MESH_D008288,1463,MESH_D002738
MESH_D005334,1462,MESH_C558899
MESH_D003643,1436,MESH_C000606551
MESH_D011014,1408,MESH_D010100
MESH_D005334,1407,MESH_D006886
MESH_C000657245,1394,MESH_D000438
MESH_D008133,1388,MESH_D006886
MESH_C000657245,1373,MESH_D003404
MESH_D003371,1368,MESH_D010100
MESH_C000657245,1367,MESH_D006495
MESH_D003643,1353,MESH_D002738
MESH_D012131,1319,MESH_D010100
MESH_D003643,1259,MESH_C502936
MESH_C000657245,1244,MESH_C023676
MESH_D011014,1234,MESH_C558899
MESH_D000860,1174,MESH_D010100
MESH_D003643,1167,MESH_D017963
MESH_D007239,1079,MESH_C502936
MESH_D018352,1077,MESH_C000606551
MESH_D008180,1030,MESH_D006886
MESH_D007239,1004,MESH_D014867
MESH_C000657245,987,MESH_D007052
MESH_D001145,964,MESH_D006886
MESH_D018352,962,MESH_C558899
MESH_D001102,938,MESH_D002738
MESH_D001172,923,MESH_D006886
MESH_D008288,915,MESH_D006886
MESH_C000657245,907,MESH_D019808
MESH_C000657245,905,MESH_D003078
MESH_D003371,893,MESH_D006886
MESH_D007239,892,MESH_D017963
MESH_D007239,887,MESH_D013256
MESH_D064420,881,MESH_D006886
MESH_D064420,878,MESH_D002738
MESH_C000657245,875,MESH_D000450
MESH_D008133,871,MESH_D002738
MESH_D001172,867,MESH_C502936
MESH_D012128,863,MESH_C558899
MESH_C000657245,807,MESH_D000069454
MESH_C000657245,802,MESH_C000596027
MESH_C000657245,785,MESH_D001205
MESH_D003371,780,MESH_C558899
MESH_D011014,779,MESH_D002738
MESH_C000657245,778,MESH_D019788
MESH_D003643,764,MESH_D005947
MESH_D008133,748,MESH_D017963
MESH_C000657245,745,MESH_C000592401
MESH_D012128,731,MESH_D006886
MESH_D007239,726,MESH_D014807
MESH_D003643,713,MESH_D012254
MESH_D001102,700,MESH_C000606551
MESH_C000657245,699,MESH_D001663
MESH_C000657245,696,MESH_D009538
MESH_D003643,690,MESH_D006493
MESH_D003643,684,MESH_D003404
MESH_D011014,678,MESH_C000606551
MESH_D005334,652,MESH_D003404
MESH_D001172,647,MESH_D002738
MESH_D013927,619,MESH_D006493
MESH_C000657245,618,MESH_D016572
MESH_C000657245,615,MESH_D014508
MESH_D014839,609,MESH_D002738
MESH_D007239,606,MESH_D061466
MESH_D012164,606,MESH_D006886
MESH_D018352,595,MESH_D012254
MESH_C000657245,585,MESH_D000082
MESH_D001102,578,MESH_D006886
MESH_D016638,578,MESH_D010100
MESH_D007625,570,MESH_D006886
MESH_D003643,561,MESH_D008775
