startId,count,endId
MESH_C000657245,31574,GENE_59272
MESH_C000657245,13127,GENE_3569
MESH_D007239,12328,GENE_59272
MESH_C000657245,6995,GENE_1401
MESH_C000657245,5510,GENE_1636
MESH_C000657245,5058,GENE_7124
MESH_D006973,4922,GENE_59272
MESH_D055370,3965,GENE_59272
MESH_D003643,3459,GENE_59272
MESH_D007239,3285,GENE_3569
MESH_D012128,3244,GENE_59272
MESH_D003920,3220,GENE_59272
MESH_C000657245,3060,GENE_3552
MESH_C000657245,2966,GENE_920
MESH_C000657245,2920,GENE_925
MESH_D007249,2913,GENE_59272
MESH_C000657245,2805,GENE_43740568
MESH_C000657245,2660,GENE_7373
MESH_C000657245,2522,GENE_7113
MESH_C000657245,2512,GENE_183
MESH_C000657245,2378,GENE_43740578
MESH_D003643,2335,GENE_3569
MESH_D001102,2302,GENE_59272
MESH_D006973,2206,GENE_1636
MESH_D005334,2170,GENE_1401
MESH_C000657245,2119,GENE_26503
MESH_D002318,2114,GENE_59272
MESH_D003643,2093,GENE_1401
MESH_C000657245,1961,GENE_3586
MESH_D007249,1956,GENE_3569
MESH_C000657245,1829,GENE_None
MESH_C000657245,1729,GENE_6347
MESH_D012128,1726,GENE_3569
MESH_D007239,1683,GENE_43740568
MESH_D007239,1662,GENE_7124
MESH_D007239,1642,GENE_1401
MESH_D006623,1618,GENE_7373
MESH_C000657245,1611,GENE_3458
MESH_D018352,1599,GENE_59272
MESH_C000657245,1545,GENE_3439
MESH_D003371,1434,GENE_1401
MESH_C000657245,1347,GENE_1803
MESH_D007239,1342,GENE_7113
MESH_D007239,1340,GENE_1636
MESH_C000657245,1327,GENE_3627
MESH_C000657245,1316,GENE_5366
MESH_D011014,1312,GENE_59272
MESH_D011014,1309,GENE_3569
MESH_D007239,1270,GENE_925
MESH_D007239,1267,GENE_1803
MESH_D006333,1255,GENE_59272
MESH_D009369,1255,GENE_59272
MESH_D003920,1244,GENE_3630
MESH_C000657245,1183,GENE_2244
MESH_D008231,1145,GENE_1401
MESH_C000657245,1128,GENE_3440
MESH_C000657245,1114,GENE_185
MESH_C000657245,1094,GENE_3558
MESH_C000657245,1077,GENE_43740575
MESH_C000657245,1070,GENE_3576
MESH_C000657245,1034,GENE_213
MESH_C000657245,1033,GENE_8673700
MESH_D006331,1017,GENE_59272
MESH_D011014,993,GENE_1401
MESH_D055370,988,GENE_183
MESH_D007239,987,GENE_920
MESH_D007239,983,GENE_3552
MESH_D005355,964,GENE_59272
MESH_C000657245,943,GENE_637
MESH_C000657245,934,GENE_3630
MESH_C000657245,926,GENE_1440
MESH_C000657245,925,GENE_5972
MESH_D007249,923,GENE_7124
MESH_D001102,919,GENE_3569
MESH_C000657245,915,GENE_6348
MESH_D012128,910,GENE_1401
MESH_D003920,906,GENE_1636
MESH_D003643,902,GENE_1636
MESH_C000657245,875,GENE_50848
MESH_C000657245,860,GENE_70008
