startId,endId,count
GENE_59272,GENE_1636,8886
GENE_1636,GENE_59272,8886
GENE_59272,GENE_183,7655
GENE_183,GENE_59272,7655
GENE_43740568,GENE_59272,7336
GENE_59272,GENE_43740568,7336
GENE_59272,GENE_7113,6146
GENE_7113,GENE_59272,6146
GENE_3123,GENE_3115,6003
GENE_3115,GENE_3123,6003
GENE_3123,GENE_3117,5324
GENE_3117,GENE_3123,5324
GENE_3123,GENE_3119,4971
GENE_3119,GENE_3123,4971
GENE_7124,GENE_3569,4058
GENE_3569,GENE_7124,4058
GENE_3123,GENE_3113,3469
GENE_3113,GENE_3123,3469
GENE_3569,GENE_1401,3262
GENE_1401,GENE_3569,3262
GENE_925,GENE_920,3128
GENE_920,GENE_925,3128
GENE_59272,GENE_185,2950
GENE_185,GENE_59272,2950
GENE_70008,GENE_59272,2791
GENE_59272,GENE_70008,2791
GENE_1636,GENE_183,2763
GENE_183,GENE_1636,2763
GENE_284_285_51378_27329,GENE_59272,2526
GENE_59272,GENE_284_285_51378_27329,2526
GENE_3569,GENE_3552,2419
GENE_3552,GENE_3569,2419
GENE_59272,GENE_1803,2277
GENE_1803,GENE_59272,2277
GENE_2525,GENE_1674,2108
GENE_1674,GENE_2525,2108
GENE_3586,GENE_3569,2096
GENE_3569,GENE_3586,2096
GENE_3125,GENE_3123,1998
GENE_3123,GENE_3125,1998
GENE_3126,GENE_3123,1853
GENE_3123,GENE_3126,1853
GENE_3117,GENE_3115,1796
GENE_3115,GENE_3117,1796
GENE_3119,GENE_3115,1765
GENE_3115,GENE_3119,1765
GENE_3576,GENE_3569,1722
GENE_3569,GENE_3576,1722
GENE_43740575,GENE_43740568,1706
GENE_43740568,GENE_43740575,1706
GENE_59272,GENE_6868,1700
GENE_6868,GENE_59272,1700
GENE_3119,GENE_3117,1688
GENE_3117,GENE_3119,1688
GENE_59272,GENE_7448,1639
GENE_7448,GENE_59272,1639
GENE_43740578,GENE_43740575,1543
GENE_43740575,GENE_43740578,1543
GENE_7124,GENE_3552,1505
GENE_3552,GENE_7124,1505
GENE_3569,GENE_3458,1495
GENE_3458,GENE_3569,1495
GENE_7124,GENE_3586,1488
GENE_3586,GENE_7124,1488
GENE_185,GENE_183,1393
GENE_183,GENE_185,1393
GENE_3127,GENE_3123,1359
GENE_3123,GENE_3127,1359
GENE_None,GENE_59272,1320
GENE_6347,GENE_3569,1315
GENE_3569,GENE_6347,1315
GENE_3106,GENE_3105,1286
GENE_3105,GENE_3106,1286
GENE_3123,GENE_3105,1244
GENE_3105,GENE_3123,1244
GENE_3627,GENE_3569,1210
GENE_3569,GENE_3627,1210
GENE_26503,GENE_1401,1183
GENE_1401,GENE_26503,1183
GENE_59272,GENE_5045,1177
GENE_59272,GENE_5972,1177
GENE_5045,GENE_59272,1177
GENE_5972,GENE_59272,1177
GENE_3115,GENE_3113,1154
GENE_3113,GENE_3115,1154
GENE_6833,GENE_2525,1151
GENE_2525,GENE_6833,1151
GENE_None,GENE_5366,1141
GENE_7124,GENE_6347,1112
GENE_6347,GENE_7124,1112
GENE_59272,GENE_3569,1104
GENE_3569,GENE_59272,1104
GENE_7124,GENE_3458,1097
GENE_3458,GENE_7124,1097
GENE_6347,GENE_3627,1090
GENE_3627,GENE_6347,1090
GENE_43740568,GENE_7113,1058
GENE_7113,GENE_43740568,1058
GENE_3117,GENE_3113,1043
GENE_3113,GENE_3117,1043
GENE_1636,GENE_185,1031
GENE_185,GENE_1636,1031
GENE_7124,GENE_3576,979
GENE_3576,GENE_7124,979
GENE_7124,GENE_3627,963
GENE_3627,GENE_7124,963
GENE_3119,GENE_3113,954
GENE_3113,GENE_3119,954
GENE_302668,GENE_59272,953
GENE_59272,GENE_302668,953
GENE_59272,GENE_7124,934
GENE_7124,GENE_59272,934
GENE_284_285_51378_27329,GENE_1636,913
GENE_1636,GENE_284_285_51378_27329,913
